#Warsong Gluch
2106 29,29 (1544.92 329.967 1386.21) (1523.94 317.98 1363.93) 0.6 0
2106 29,29 (1543.41 329.78 1391.63) (1521.8 323.201 1390.83) 0.6 0
2106 29,29 (1570.08 328.442 1385.57) (1569.03 318.838 1362.81) 0.6 0
2106 29,29 (1579.08 329.939 1385.26) (1593.95 320.758 1377.3) 0.6 0
2106 29,29 (1548.53 342.344 1433.99) (1554.12 329.162 1402) 0.6 0
2106 29,29 (1555.15 342.15 1437.11) (1564.91 328.792 1415.92) 0.6 0
2106 29,29 (1540.72 341.536 1427.27) (1555.83 328.864 1406.83) 0.6 0
2106 29,29 (1550.53 329.568 1384.84) (1546.58 320.261 1362.33) 0.6 0
2106 29,29 (1458.73 374.008 1523.1) (1460.22 362.725 1530.52) 0.6 0
2106 29,29 (1465.35 362.723 1530.26) (1477.39 351.962 1530.12) 0.6 0
2106 29,29 (1457 367.604 933.177) (1458.4 355.977 924.894) 0.6 0
2106 29,29 (1452.51 356.028 926.685) (1441.25 345.56 926.489) 0.6 0
2106 29,29 (1384.4 329.004 1071.51) (1397.82 320.195 1087.4) 0.6 0
2106 29,29 (1362.75 328.038 1073.16) (1363.71 319.407 1085.24) 0.6 0
2106 29,29 (1359.89 328.59 1070.99) (1346.53 319.836 1078.83) 0.6 0
